 "course_name" ,
 "MECH BEHAV/POLYMER COMP MAT" ,
 "DISCRETE EVENT SYSTEMS" ,
 "STRUCTURAL SYSTEMS/BUILDING" ,
 "NATURAL LANGUAGE ANALYSIS" ,
 "TOPICS IN INDUSTRIAL ENGR" ,
 "GRADUATE SEMINAR IN BCEE" ,
 "NUMERICALLY CONTROLLED MACH." ,
 "ELEMENTARY NUMERICAL METHODS" ,
 "TOPICS IN MECHANICAL ENGINEERING I - COATING AND SURFACE ENGINEERING" ,
 "DIGITAL SIGNAL PROCESSING" ,
 "VEHICLE DYNAMICS" ,
 "PRINCIPLES/DATA STRUCTURES" ,
 "PROJECT AND REPORT I" ,
 "DIGITAL CONTROL OF DYNAMIC SYSTEMS" ,
 "LINEAR SYSTEMS" ,
 "POLYM CHEM & ENG" ,
 "SOLID STATE DEVICES" ,
 "SOFTWARE PROJECT MANAGEMENT" ,
 "MICROWAVE ENGINEERING" ,
 "SYSTEMS REQMT. SPECIFICATION" ,
 "BIOLOGICAL SIGNAL PROCESSING" ,
 "ADVANCED QUALITY CONTROL" ,
 "RECENT DEV. IN INFO.SYS SEC." ,
 "CONSTRUCTION PLANN G+CONTROL" ,
 "CHEM KINET & REACT ENG" ,
 "ANTENNAS" ,
 "PROB.+STOCHASTIC PROCESSES" ,
 "MODELING TURBULENT FLOWS" ,
 "QUAL. IN SUPPLY CHAIN DESIGN" ,
 "TOPICS IN ENGINEERING & COMPUTER SCIENCE 1" ,
 "ENG. FRACTURE MECH.+FATIGUE" ,
 "COMPOSIT'N/ARGUMENTAT'N/ENGS" ,
 "The Finite Element Method in Computational Fluid Dynamics" ,
 "BUILDING ENVIRONMENT" ,
 "ENERGY RES: CONVEN.+RENEWBL." ,
 "COMPUTER ARCHITECTURE+DESIGN" ,
 "CHEM ENG PROC DYN & CONTROL" ,
 "SYSTEMS INTEGRATION AND TEST" ,
 "REAL-TIME + MULTI. COMM. INT" ,
 "FUNDALMENTAL FACILITY MGMT." ,
 "TOPICS/COMPUTER SCIENCE" ,
 "SOFTWARE RE-ENGINEERING" ,
 "APPLIED OPTIMIZATION" ,
 "TOPICS/SOFTWARE ENGINEERING" ,
 "OPT. DESIGN OF MECH. SYST." ,
 "DESIGN/INDUSTRIAL CTRL. SYS." ,
 "TECH WRTG/RSRCH METH/SCI/ENG" ,
 "HYDROLOGY" ,
 "TOPICS IN SOFTWARE ENGINEERING 1 - 	SOFTWARE RE-ENGINEERING" ,
 "TOPICS IN ENGINEERING I" ,
 "GRAD. SEMINAR/MECH/INDU ENG." ,
 "LABOUR+IND L REL/CONSTRUCT N" ,
 "COMPUTER-AIDED MECH. DESIGN" ,
 "WIRELESS NETWORK SECURITY" ,
 "OPTIMIZATION TECHNIQUES" ,
 "TOPICS IN CIVIL ENGR I" ,
 "ANIMATION FOR COMPUTER GAMES" ,
 "HUMAN COMPUTER INTERFACE DES" ,
 "ADV CHEM ENG THERMODYN" ,
 "Statistics for Chemical Engineering" ,
 "SOFTWARE DSGN METHODOLOGIES" ,
 "BUILDING ENCLOSURE" ,
 "TOPICS IN BUILDING ENGINEERING:" ,
 "DESIGN of integrated circuit components" ,
 "WATER POLLUTION+CONTROL" ,
 "COMPUTER-AIDED BLDG OPER." ,
 "ADV. ELEC. MACHINES & DRIVES" ,
 "MICROPROCESS + APPLICATIONS" ,
 "FLIGHT CONTROL SYSTEMS" ,
 "APPLIED ARTIFICIAL INTELLIGENCE" ,
 "OPERATIONAL PERF./AIRCRAFT" ,
 "Advanced Finite Element Method in Structural Mechanics" ,
 "Quantitative Methods in Healthcare Systems" ,
 "PH.D. SEMINAR" ,
 "PROGRAM G + PROBLEM SOLVING" ,
 "MICROMECHATRONIC SYST./APPL." ,
 "ADVANCED PROGRAMMING" ,
 "FCTNL. HARDWARE VERIFICATION" ,
 "NANOSC/NANOTEC:OPTO-ELEC DEV" ,
 "SOFTWARE REFACTORING" ,
 "MODERN ANTENNA THEORY" ,
 "INTRODUCTION TO ANALOG VLSI" ,
 "PROJECT MANAGEMENT" ,
 "MALW. DEF. & APPL. SECURITY" ,
 "WIRELESS COMMUNICATIONS" ,
 "DIGITAL COMMUNICATIONS" ,
 "SOIL BEHAVIOUR" ,
 "INTER. OF AVIONIC SYSTEMS" ,
 "Environmental Nanotechnology" ,
 "ENGG.ASP./BIO.TRMT/WATER+AIR" ,
 "STRUCTURAL HEALTH MONITORING" ,
 "PROGRAMMING ON THE CLOUD" ,
 "Pavement Management Systems" ,
 "ADVANCED ELECTROMAGNETICS" ,
 "SOFTWARE VERIFICAT N/TESTING" ,
 "SEISMIC ASS. & RET. OF STRUC" ,
 "PROTOCOL DESIGN + VALIDATION" ,
 "Applied Industrial Systems Analytics" ,
 "DIAGN.+REHAB./BLDG. ENVELOPE" ,
 "Building Information Modelling in Construction" ,
 "FOUNDATION ENGINEERING" ,
 "DEVELOPMENT & GLOBAL ENGR." ,
 "FATE+TRANSP./CONTAMIN./ENVT." ,
 "Greenhouse Gases and Control" ,
 "INTELLIGENT SYSTEMS" ,
 "Embedded Systems Security" ,
 "COMP 6781 Statistical Natural Language Processing" ,
 "HYDRAULIC STRUCTURES" ,
 "GRADUATE SEMINAR IN ELEC+CE" ,
 "ADVANCED MATERIALS" ,
 "QUAL. ASS. SUPPLY CHAIN MGT" ,
 "FILES AND DATABASES" ,
 "NANOMATERIALS SCIENCE AND ENGINEERING" ,
 "Stochastic Optimization" ,
 "SENSORS AND ACTUATORS" ,
 "FINITE DIFF.METHOD/C.F.D." ,
 "SOIL TESTING + PROPERTIES" ,
 "MODEL DRIVEN SOFTWARE ENGR." ,
 "Smart Grids and Control System Security" ,
 "TOT. QUALITY PROJ.MANAGEMENT" ,
 "Communication Techniques for the Innovation Process" ,
 "TELECOMMUNICATIONS NETWORKS" ,
 "CONCURRENT ENG.IN AERO.SYST." ,
 "AUTONOMY FOR MOBILE ROBOTS" ,
 "Engineering Materials" ,
 "Reinforced Earth" ,
 "PRECAST+PRESTR.CONCRT.STRUC." ,
 "TOOLS+TECHNIQUES / SW ENGR." ,
 "DESIGN USING COMPOSITE MAT" ,
 "CONTROLLED ELECTRIC DRIVES" ,
 "HIGHER LAYER TELE. PROTOCOLS" ,
 "Chemical Process Engineering and Design" ,
 "EARTH STRUCT+SLOPE STABIL Y." ,
 "MACHINE LEARNING" ,
 "ADV.DATABASE TECH. AND APPL." ,
 "APPLICATIONS OF RELIABILITY ENGINEERING" ,
 "PRIN. OF SLID ST NA.DEV" ,
 "ENGR METROL & MESRT SYSTEMS" ,
 "TOPICS IN MECHANICAL ENG. I" ,
 "HYDRAULIC ENGINEERING" ,
 "HELICOPTER FLIGHT DYNAMICS" ,
 "LARGE-SCALE CONTROL SYSTEMS" ,
 "ADV IMAGE PROC" ,
 "LOGISTICS NETWORK MODELS" ,
 "TRENCHLESS TECH.REHAB. WORKS" ,
 "ADVANCED STEEL STRUCTURES DESIGN" ,
 "ENGINEERING ANALYSIS OF SMART MATERIALS AND STRUCTURES" ,
 "Applied Probability and Statistics for Engineers (4 credits)" ,
 "EMBEDDED SYSTEM MODELLING" ,
 "TRAFFIC ENGINEERING" ,
 "POWER ELECTRONICS II" ,
 "HEAT VENT+AIR CONDITION SYS." ,
 "GAS TURBINE DESIGN" ,
 "AIRCRAFT STRUCTURES" ,
 "URBAN TRANSPORTATION PLAN." ,
 "Program and Problem Solving" ,
 "PRIN. OF SYSTEMS ENGINEERING" ,
 "CONTROL OF MULTI-AGENT SYSTEMS" ,
 "VIDEO PROCESSING AND COMPRESSION" ,
 "TOPICS/COMPUTER ENGINEERING" ,
 "INFRASTRUCTURE REHABILITAT N" ,
 "NUMERIC ANALY/NONLINEAR EQUA" ,
 "BUILDING SCIENCE" ,
 "ENGINEERING ANALYSIS" ,
 "ENGINEERING ANALYSIS II" ,
 "ADAPTIVE SIGNAL PROCESSING" ,
 "Design and Operations of Supply Chain Networks" ,
 "INTRO/KNOWLEDGE-BASE SYSTEMS" ,
 "Software Engineering Processes" ,
